icao24,origin_country,velocity,geo_altitude
758339,Philippines,285.39,12252.96
758338,Philippines,174.36,2004.06
ac2dea,United States,201.63,5356.86
758337,Philippines,286.29,12496.8
a3b7cb,United States,62.26,15.24
a40d8d,United States,243.52,10386.06
49530d,Portugal,202.22,10515.6
e0b254,Argentina,267.46,11887.2
ac7115,United States,231.61,6408.42
e492aa,Brazil,219.96,12321.54
a3915a,United States,223.96,8816.34
adb7b8,United States,0.0,
84cb66,Japan,2.06,
758303,Philippines,245.73,11711.94
025414,Morocco,51.76,1866.9
a40d7a,United States,225.54,10294.62
a65408,United States,123.04,1036.32
861e92,Japan,201.08,11064.24
a594a9,United States,63.31,426.72
495306,Portugal,241.13,9669.78
495307,Portugal,224.01,9966.96
abc780,United States,201.32,11071.86
acba1b,United States,221.94,7292.34
a2cd7e,United States,45.57,335.28
a33afa,United States,208.96,9395.46
aaa79a,United States,90.78,3611.88
a4bdb9,United States,112.92,3756.66
ac21c1,United States,8.23,
e0b281,Argentina,206.56,11635.74
ace74e,United States,221.18,9852.66
a4d7e4,United States,273.01,7818.12
8014d8,India,233.18,8633.46
a39d95,United States,2.83,
abad6c,United States,214.51,10995.66
7c1c4b,Australia,59.16,
84cb5b,Japan,161.12,8496.3
7c1c4f,Australia,68.41,868.68
a33af8,United States,51.17,1981.2
8a03b2,Indonesia,231.7,11681.46
aa0909,United States,179.71,2910.84
a2f9c0,United States,61.2,2209.8
7c6a8c,Australia,67.09,563.88
8637be,Japan,52.78,822.96
408086,United Kingdom,220.13,10759.44
34310d,Spain,145.23,2964.18
a03cd4,United States,243.69,12656.82
408088,United Kingdom,269.88,12489.18
a94ae3,United States,206.98,5021.58
0d0b4b,Mexico,204.22,12138.66
acd2d3,United States,262.49,9806.94
a7c465,United States,38.83,1783.08
8a03a5,Indonesia,267.01,9799.32
a2f9b3,United States,149.93,2628.9
a6eadb,United States,41.72,259.08
a1bfb2,United States,242.55,9578.34
e4936a,Brazil,244.61,12641.58
a951d6,United States,188.86,3832.86
0d0b67,Mexico,207.15,12138.66
aa2a7f,United States,75.64,510.54
a35605,United States,151.41,3276.6
a21c16,United States,249.65,12321.54
c02cfc,Canada,189.1,10744.2
a88d6a,United States,283.97,14074.14
c87f14,New Zealand,69.85,
c87f11,New Zealand,58.71,
a1c6a8,United States,165.66,3657.6
3c5422,Germany,208.03,8161.02
a8e45c,United States,211.97,6202.68
a6eadd,United States,56.0,388.62
a11650,United States,34.14,251.46
a559c3,United States,113.7,1295.4
3c542a,Germany,225.44,9387.84
a28fb4,United States,207.19,11841.48
ad3b74,United States,57.42,800.1
c87f29,New Zealand,66.88,944.88
a3918f,United States,217.03,11216.64
a2491b,United States,74.02,2392.68
a59601,United States,263.06,10782.3
a7c484,United States,88.5,3246.12
c87f24,New Zealand,91.16,3848.1
c87f23,New Zealand,91.91,4838.7
3c5430,Germany,0.0,
471f55,Hungary,173.28,6057.9
a5df05,United States,54.96,929.64
408053,United Kingdom,150.25,2933.7
c07c7b,Canada,279.85,10515.6
a559d1,United States,176.46,13281.66
4248a7,United Kingdom,272.16,11849.1
a7b13b,United States,140.58,2750.82
a189f2,United States,98.02,647.7
3c542d,Germany,0.0,
abfb7c,United States,55.56,510.54
a831e5,United States,186.61,9342.12
a3a61a,United States,183.84,4892.04
7809d6,China,184.42,3802.38
a3696e,United States,229.68,9296.4
a88d47,United States,238.09,9944.1
a75a2d,United States,1.54,
a1acce,United States,243.97,10896.6
c0831e,Canada,50.79,1539.24
a95dd3,United States,0.0,
7c4956,Australia,3.6,
a0f65b,United States,69.45,2735.58
0d1202,Mexico,229.44,10386.06
a76d5a,United States,237.93,10088.88
a604f9,United States,30.36,22.86
a57af9,United States,63.73,396.24
aa2a54,United States,64.31,22.86
c87f41,New Zealand,0.0,
a7d751,United States,205.89,10957.56
a1bff9,United States,62.38,419.1
3c6712,Germany,290.39,11620.5
3c6711,Germany,291.15,12778.74
a40ca4,United States,68.29,304.8
471f38,Hungary,226.22,10683.24
a83dd0,United States,51.82,876.3
a0ef95,United States,180.06,6499.86
801611,India,260.34,12451.08
75839f,Philippines,225.61,7391.4
aaa710,United States,43.09,601.98
0d1218,Mexico,0.45,
a21c53,United States,208.3,10256.52
