icao24,origin_country,velocity,on_ground
7c6d7b,Australia,245.8,False
ac1a44,United States,8.75,True
c820f2,New Zealand,176.2,False
7583ab,Philippines,100.88,False
ad6758,United States,69.54,False
a2dce1,United States,84.5,False
7c6d96,Australia,254.95,False
7c6d94,Australia,236.58,False
800583,India,253.54,False
7cc43c,Australia,0.0,False
44b0c3,Belgium,219.48,False
abc4d8,United States,214.62,False
758525,Philippines,279.99,False
e0b04e,Argentina,276.93,False
a0b81e,United States,202.14,False
a0b823,United States,5.14,True
440020,Austria,266.42,False
ac2be9,United States,171.86,False
a9c631,United States,219.72,False
aaa590,United States,0.0,True
c04671,Canada,211.91,False
a59398,United States,123.65,False
a72f91,United States,241.87,False
874846,Japan,187.0,False
ac32cf,United States,227.5,False
c080a5,Canada,91.7,False
c080a3,Canada,231.95,False
a0fea6,United States,231.81,False
a9bf4b,United States,173.74,False
a8b964,United States,188.5,False
a4b065,United States,213.6,False
846b6c,Japan,0.0,True
a9bf27,United States,231.29,False
aa9d6e,United States,242.84,False
c080ac,Canada,116.19,False
a95c38,United States,246.05,False
8a0639,Indonesia,244.24,False
aa3ae5,United States,154.68,False
c080aa,Canada,227.73,False
a8699a,United States,233.07,False
44001e,Austria,235.33,False
8960f4,United Arab Emirates,212.15,False
8960f8,United Arab Emirates,253.35,False
8960f7,United Arab Emirates,225.36,False
7c6d2f,Australia,147.82,False
8840fa,Thailand,212.01,False
a2de28,United States,5.92,True
a5dc31,United States,232.81,False
8960f0,United Arab Emirates,246.82,False
7c6d2a,Australia,84.76,False
a96f37,United States,202.51,False
abb271,United States,225.06,False
8960ef,United Arab Emirates,243.32,False
70a8ee,Nepal,116.34,False
8a060d,Indonesia,223.05,False
0d0cdd,Mexico,5.92,True
49514c,Portugal,260.83,False
a10bbc,United States,210.32,False
7c6d30,Australia,247.9,False
a6c6c8,United States,232.67,False
a0ebab,United States,238.54,False
e490ef,Brazil,0.77,True
7c6d36,Australia,205.2,False
3c4a8c,Germany,134.19,False
8004a6,India,112.78,False
8960fa,United Arab Emirates,250.21,False
a97639,United States,118.61,False
a35eb0,United States,226.55,False
7c6d32,Australia,208.17,False
a84f35,United States,49.41,False
7c6d31,Australia,135.33,False
a17527,United States,142.53,False
a03b25,United States,132.94,False
84bb13,Japan,308.96,False
344195,Spain,253.64,False
c03330,Canada,188.52,False
a18859,United States,28.41,False
8017a0,India,104.37,False
8a0604,Indonesia,229.32,False
c03f85,Canada,165.68,False
a03b1d,United States,245.32,False
a0b841,United States,4.63,True
a5d007,United States,161.66,False
84bb06,Japan,304.27,False
a8b926,United States,117.93,False
7c6d24,Australia,67.91,False
a0b849,United States,127.59,False
aa8a09,United States,225.04,False
a67846,United States,176.27,False
aa3b05,United States,229.41,False
89611d,United Arab Emirates,211.24,False
a2cb33,United States,203.14,False
89611b,United Arab Emirates,242.2,False
781b59,China,225.43,False
a39b39,United States,66.55,False
a35efa,United States,222.99,False
8016df,India,200.92,False
782242,China,172.09,False
a31890,United States,184.09,False
70472a,Myanmar,158.18,False
7c123a,Australia,84.58,False
a1be72,United States,191.61,False
c03f02,Canada,216.32,False
0d0cb0,Mexico,253.51,False
0d0cb1,Mexico,166.11,False
a0427e,United States,184.0,False
a41e2c,United States,71.54,False
e4917d,Brazil,140.37,False
a1d873,United States,242.36,False
4006c1,United Kingdom,238.7,False
c03f37,Canada,0.06,True
485785,Kingdom of the Netherlands,275.17,False
485789,Kingdom of the Netherlands,4.12,False
a5320b,United States,0.0,True
8016bc,India,223.01,False
4891ac,Poland,245.87,False
a125f9,United States,235.73,False
4006c0,United Kingdom,272.22,False
782263,China,195.47,False
c8221a,New Zealand,228.96,False
7c6bbe,Australia,254.6,False
7c6bbd,Australia,230.94,False
7c72b4,Australia,2.57,True
7c6bbb,Australia,245.2,False
8016d2,India,206.63,False
ac3eba,United States,220.62,False
89610c,United Arab Emirates,250.23,False
8016d3,India,196.74,False
484443,Kingdom of the Netherlands,226.65,False
8016bf,India,193.12,False
a03b6d,United States,0.06,True
89610f,United Arab Emirates,242.62,False
89610e,United Arab Emirates,233.68,False
8016d7,India,161.78,False
a9768a,United States,244.49,False
e49cac,Brazil,256.4,False
471d61,Hungary,248.13,False
471d64,Hungary,239.46,False
ac2ba0,United States,204.61,False
ac45ac,United States,1.03,True
151e64,Russian Federation,50.31,False
75854a,Philippines,107.78,False
151e66,Russian Federation,32.0,False
c1ea44,Canada,6.69,True
ab6229,United States,141.14,False
84715c,Japan,180.55,False
78227c,China,225.99,False
3991e5,France,66.05,False
a2e585,United States,220.21,False
a67811,United States,340.59,False
ad1857,United States,125.87,False
471d5b,Hungary,140.4,False
782293,China,238.44,False
471d5c,Hungary,151.77,False
484415,Kingdom of the Netherlands,262.96,False
a2e571,United States,164.87,False
ad9b28,United States,217.08,False
ac2bc6,United States,202.39,False
a0428a,United States,0.0,True
ad1861,United States,234.55,False
c0817c,Canada,209.22,False
758558,Philippines,188.01,False
7c6bf2,Australia,3.6,True
4246a2,United Kingdom,257.96,False
ab6247,United States,1.29,True
ab5b66,United States,218.24,False
c82285,New Zealand,84.2,False
704729,Myanmar,106.96,False
ac2bd6,United States,79.73,False
7cbbbd,Australia,45.0,False
7c0b75,Australia,62.25,False
c1ea35,Canada,7.46,True
0d0d92,Mexico,207.22,False
8470a0,Japan,10.29,True
a12731,United States,119.39,False
a12734,United States,248.88,False
86d952,Japan,84.45,False
151da3,Russian Federation,213.64,False
ac8cf1,United States,129.84,False
151da9,Russian Federation,28.1,False
7cb05e,Australia,164.38,False
7cb05c,Australia,99.17,False
801800,India,0.51,True
a6657e,United States,0.0,True
c1ea00,Canada,6.69,True
7cb067,Australia,170.74,False
7cb065,Australia,127.5,False
3c6519,Germany,249.0,False
a16db9,United States,220.75,False
801804,India,162.47,False
801805,India,253.15,False
801806,India,130.29,False
a1272f,United States,236.13,False
a6c88e,United States,0.0,True
a187ba,United States,232.34,False
8626cc,Japan,202.69,False
ac8ceb,United States,52.46,False
89617c,United Arab Emirates,232.84,False
a12710,United States,221.12,False
a12712,United States,215.12,False
151dc2,Russian Federation,230.8,False
4a91af,Sweden,241.45,False
151dc9,Russian Federation,30.18,False
a842e7,United States,186.92,False
4b5d4e,Switzerland,0.45,True
842370,Japan,311.25,False
a988ec,United States,190.79,False
841043,Japan,9.26,True
151dbe,Russian Federation,241.91,False
896194,United Arab Emirates,244.93,False
4a3121,Romania,195.26,False
adb653,United States,84.66,False
7c6c9a,Australia,217.68,False
89618a,United Arab Emirates,321.54,False
a04db8,United States,14.92,True
86d94a,Japan,326.2,False
a1270f,United States,76.41,False
060041,Mauritius,231.77,False
ac337e,United States,22.12,True
a90e1e,United States,69.64,False
a602ab,United States,208.49,False
a5a878,United States,202.93,False
896179,United Arab Emirates,237.49,False
a04dfa,United States,229.59,False
a0f427,United States,272.96,False
a4870d,United States,119.17,False
a988cc,United States,164.82,False
80183b,India,0.0,True
861fa4,Japan,0.9,True
a5f5bf,United States,192.72,False
782207,China,205.18,False
86d906,Japan,195.37,False
a5a888,United States,249.92,False
782217,China,271.73,False
aae087,United States,250.64,False
c07a0f,Canada,232.4,False
782214,China,222.68,False
c07a0c,Canada,166.19,False
a12756,United States,220.28,False
86d930,Japan,343.47,False
ac2082,United States,227.5,False
a66576,United States,217.62,False
801819,India,184.92,False
a067ec,United States,162.85,False
a602cd,United States,1.03,True
a0b7d9,United States,170.28,False
801822,India,253.8,False
c031a0,Canada,182.35,False
7c0b01,Australia,61.84,False
ae10e9,United States,164.38,False
80180e,India,203.67,False
782228,China,263.26,False
781b2b,China,87.46,False
ad537e,United States,88.32,False
48a5f8,Poland,116.57,False
896169,United Arab Emirates,233.62,False
42478d,United Kingdom,208.15,False
ab2855,United States,244.56,False
4951d6,Portugal,241.18,False
7c5b79,Australia,179.54,False
a7370b,United States,97.3,False
aaa5ae,United States,144.15,False
a0f46f,United States,3.86,True
ac2e45,United States,47.54,False
a1011f,United States,65.92,False
0d0d36,Mexico,220.45,False
7584fa,Philippines,73.64,False
7821e0,China,234.37,False
4844ef,Kingdom of the Netherlands,215.76,False
a71d34,United States,185.78,False
a10d82,United States,210.37,False
a34d52,United States,0.0,True
a1aaae,United States,239.39,False
